"word","sentiment"
"άσχημος","negative"
"άσχημη","negative"
"άσχημο","negative"
"ατάραχος","negative"
"ατάραχη","negative"
"ατάραχο","negative"
"άτεγκτος","negative"
"άτεγκτη","negative"
"άτεγκτο","negative"
"ατρόμητος","positive"
"ατρόμητη","positive"
"ατρόμητο","positive"
"άτρομος","negative"
"άτρομη","negative"
"άτρομο","negative"
"αυθαδόμουτρο","negative"
"αυλή","negative"
"αυριανισμός","negative"
"αυταπάτη","negative"
"αυτή","negative"
"αυτοϊκανοποίηση","negative"
"αυτοϊκανοποιούμαι","negative"
"αυτοκυριαρχία","positive"
"αυτοκυριαρχούμαι","positive"
"αυτός","negative"
"αυτός","negative"
"αυτός","negative"
"αυτοσεβασμός","positive"
"αυτοσυγκράτηση","positive"
"αυτοσυγκρατούμαι","positive"
"αυτοτέλεια","positive"
"αφαιρώ","negative"
"αφεντιά","negative"
"αφηνιάζω","negative"
"αφιλανθρωπία","negative"
"αφιλάνθρωπος","negative"
"αφιλάνθρωπη","negative"
"αφιλάνθρωπο","negative"
"αφιονίζω","negative"
"άφοβος","positive"
"άφοβη","positive"
"άφοβο","positive"
"αφοσίωση","positive"
"αφυπνίζω","positive"
"αφύπνιση","positive"
"αχάριστος","negative"
"αχάριστη","negative"
"αχάριστο","negative"
"αχόρταγος","negative"
"αχόρταγη","negative"
"αχόρταγο","negative"
"αχυράνθρωπος","negative"
"αψιθυμία","negative"
"βαλκάνιος","negative"
"βαραίνω","negative"
"βαρέλα","negative"
"βαρελάκι","negative"
"βαρέλι","negative"
"βαριέμαι","negative"
"βαριεστημάρα","negative"
"βαριεστημένος","negative"
"βαριεστημένη","negative"
"βαριεστημένο","negative"
"βαριεστώ","negative"
"βάρος","negative"
"βαρύμαγκας","negative"
"βαρυπενθούν","negative"
"βαρυπενθούσα","negative"
"βαρυπενθών","negative"
"βαρύς","negative"
"βαριά","negative"
"βαρύ","negative"
"βαρυστομαχιά","negative"
"βαρυστομαχιάζω","negative"
"βαφτιστικός","positive"
"βδελυγμία","negative"
"βλακεία","negative"
"βλαμμένος","negative"
"βλαμμένος","negative"
"βλαχάκι","negative"
"βλαχάρα","negative"
"βλαχιά","negative"
"βλαχο-","negative"
"βλαχοδήμαρχος","negative"
"βλάχος","negative"
"βοϊδάμαξα","negative"
"βουίζω","negative"
"βουτυρο-","negative"
"βουτυρομπεμπές","negative"
"βουτυρόπαιδο","negative"
"βρε","negative"
"βρομόπαιδο","negative"
"βρομόπαιδο","negative"
"βρομοποδαράς","negative"
"βρομοπόδαρος","negative"
"βρομοπόδαρος","negative"
"βρομόσκυλο","negative"
"βρομόχερο","negative"
"βρωμόπαιδο","negative"
"βρωμοποδαράς","negative"
"βρωμοπόδαρος","negative"
"βρωμοπόδαρος","negative"
"βρωμόχερο","negative"
"γαβγίζω","negative"
"γάβγισμα","negative"
"γαϊδουροκαβαλαρία","negative"
"γαμάω","negative"
"γαμάω","negative"
"γαμήσι","negative"
"γαμησιάτικα","negative"
"γαμιάς","negative"
"γαμιέμαι","negative"
"γαμιόλης","negative"
"γαμιόλης","negative"
"γαμπρός","negative"
"γαμπρούλης","positive"
"γαμώ","negative"
"γαμώ","negative"
"γαμώτη","negative"
"γαμώτο","negative"
"γαργαλώ","positive"
"γατάκι","negative"
"γείτσες","positive"
"γέλιο","positive"
"γεμίζω","positive"
"γενναιόφρονας","positive"
"γενναιόφρων","positive"
"γενναιόφρον","positive"
"γεράκος","positive"
"γερμανοτσολιάς","negative"
"γερομπαμπαλής","negative"
"γεροντοκόρος","negative"
"γεροξεκούτης","negative"
"γεροξούρας","negative"
"γεροπαραλυμένος","negative"
"γέρος","negative"
"γεροτράγος","negative"
"γερουσία","negative"
"γεύομαι","positive"
"γεύση","positive"
"γευστικός","positive"
"γευστική","positive"
"γευστικό","positive"
"γηροκομείο","negative"
"γιαλαντζί","negative"
"γιάνκης","negative"
"γιατάκι","positive"
"γιατροσόφι","negative"
"γιόκας","negative"
"γιουφτάκος","negative"
"γιούφτος","negative"
"γκάβακας","negative"
"γκαβός","negative"
"γκαβός","negative"
"γκαβωμάρα","negative"
"γκαβώνω","negative"
"γκάμα","positive"
"γκαμήλα","negative"
"γκαύλα","positive"
"γκεσταπίτης","negative"
"γκιαούρης","negative"
"γκιόσα","negative"
"γκλάβα","negative"
"γκομενάκιας","negative"
"γκομενιλίκι","negative"
"γκρανκάσα","negative"
"γλάστρα","negative"
"γλείφτης","negative"
"γλείφτρα","negative"
"γλείφω","negative"
"γλέντι","positive"
"γλύκα","positive"
"γλυκερός","negative"
"γλυκερή","negative"
"γλυκερό","negative"
"γλυκός","positive"
"γλυκιά","positive"
"γλυκό","positive"
"γλυκύτητα","positive"
"γνησιότητα","positive"
"γομάρι","negative"
"γραφιάς","negative"
"γραφικός","negative"
"γραφικότητα","negative"
"γριούλα","positive"
"γυαλάκιας","negative"
"γύμνια","negative"
"γυναικο-","negative"
"γυρίστρα","negative"
"γυροφέρνω","negative"
"γυφτάκι","negative"
"γυφτάκος","negative"
"γυφταριό","negative"
"γύφταρος","negative"
"γυφτιά","negative"
"γύφτος","negative"
"γωνίτσα","positive"
"δάυτος","negative"
"δείγμα","negative"
"δειγματολόγιο","negative"
"δειλός","negative"
"δειλή","negative"
"δειλό","negative"
"δέος","positive"
"δέσιμο","positive"
"δεσμώτης","negative"
"διάβολος","negative"
"διάθεση","positive"
"διαισθάνομαι","negative"
"διαίσθηση","negative"
"διαισθητικός","negative"
"διαισθητική","negative"
"διαισθητικό","negative"
"διαισθητικότητα","negative"
"διακατέχω","negative"
"διακονεύω","negative"
"διακονιά","negative"
"διαμαντικό","negative"
"διανθίζω","positive"
"διαπνέω","positive"
"διασκεδάζω","positive"
"διασπείρω","negative"
"διαστρέφω","negative"
"διαστροφή","negative"
"διαφημιστής","negative"
"διαφημιστικός","negative"
"διαχυτικός","positive"
"διαχυτική","positive"
"διαχυτικό","positive"
"διευθυντήριο","negative"
"δικολάβος","negative"
"διοπτροφόρος","negative"
"διοχετεύω","negative"
"διπλάρωμα","negative"
"διπλαρώνω","negative"
"διπλωμάτης","negative"
"διπλωματικός","negative"
"διψαλέος","negative"
"δόγμα","negative"
"δογματικός","negative"
"δοκησισοφία","negative"
"δοκησίσοφος","negative"
"δόλιος","negative"
"δονκιχοτικός","negative"
"δονκιχοτισμός","negative"
"δονκιχωτικός","negative"
"δορυφόρος","negative"
"δοσοληψία","negative"
"δοτός","negative"
"δούλα","negative"
"δουλάκι","negative"
"δουλί","negative"
"δουλικό","negative"
"δούλος","negative"
"δραπετεύω","negative"
"δράστης","negative"
"δροσερός -ή -ό","positive"
"δροσίζω","positive"
"δροσιστικός -ή -ό","positive"
"δυνατός -ή -ό","positive"
"δυσαισθησία","negative"
"δυσαρέσκεια","negative"
"δυσθυμία","negative"
"δύσπεπτος","negative"
"δυσφορία","negative"
"δυσφορώ","negative"
"δώμα","negative"
"ε","negative"
"εβραϊκός","negative"
"εβραίος","negative"
"εγκάρδιος","positive"
"εγκάρδια","positive"
"εγκάρδιο","positive"
"εγκεφαλικός","negative"
"εγκεφαλική","negative"
"εγκεφαλικό","negative"
"εγκέφαλος","negative"
"εγωίσταρος","negative"
"εγωιστής","negative"
"εδέησα","negative"
"εθελοντής","positive"
"εθελοντικός","positive"
"εθελοντική","positive"
"εθελοντικό","positive"
"ειδεχθής","negative"
"ειδεχθές","negative"
"ειδύλλιο","positive"
"ειλικρίνεια","positive"
"ειλικρινής","positive"
"ειλικρινές","positive"
"είρωνας","negative"
"ειρωνεία","negative"
"ειρωνεύομαι","negative"
"εκατοχρονίτικος","negative"
"εκδηλωτικός","positive"
"εκδηλωτική","positive"
"εκδηλωτικό","positive"
"εκδράμω","positive"
"έκθαμβος","positive"
"εκκολάπτω","negative"
"εκλεκτός","positive"
"εκλεκτή","positive"
"εκλεκτό","positive"
"εκλιπών","negative"
"εκλιπούσα","negative"
"εκλιπόν","negative"
"έκπληξη","positive"
"εκπλήσσω","positive"
"εκρήγνυμαι","negative"
"έκρηξη","negative"
"εκτεθειμένος","negative"
"εκτεθειμένη","negative"
"εκτεθειμένο","negative"
"εκτελώ","negative"
"εκτονώνω","negative"
"εκφραστικός","positive"
"εκφραστική","positive"
"εκφραστικό","positive"
"ελεγεία","positive"
"ελεημοσύνη","negative"
"έλεος","negative"
"ελέφαντας","negative"
"ελεώ","negative"
"ελίτ","negative"
"εμβρόντητος","negative"
"εμβρόντητη","negative"
"εμβρόντητο","negative"
"εμετικός","negative"
"εμετική","negative"
"εμετικό","negative"
"εμετολογία","negative"
"εμετός","negative"
"εμπάθεια","negative"
"εμπαθής","negative"
"εμπαθές","negative"
"εμπιστοσύνη","positive"
"έμπλεος","positive"
"έμπλεο","positive"
"εμπνέω","positive"
"εμποτίζω","positive"
"εμφορούμαι","positive"
"εμφυσώ","positive"
"ενάργεια","positive"
"ενδοστρέφεια","negative"
"ένθερμος","positive"
"ένθερμη","positive"
"ένθερμο","positive"
"ενθουσιασμός","positive"
"ενθυλακώνω","negative"
"ενίοτε","negative"
"ενοχή","negative"
"ενόχλημα","negative"
"ενόχληση","negative"
"ενοχλώ","negative"
"ενσπείρω","negative"
"ενσυναίσθημα","positive"
"ένταση","negative"
"έντιμος","positive"
"έντιμη","positive"
"έντιμο","positive"
"έντονος","negative"
"έντονή","negative"
"έντονο","negative"
"εξάλειψη","negative"
"έξαλλος","negative"
"έξαλλη","negative"
"έξαλλο","negative"
"εξαργυρώνω","negative"
"έξαρση","negative"
"εξάρτηση","negative"
"έξαψη","negative"
"εξηνταβελόνης","negative"
"εξουθενώνω","negative"
"εξυπνάκιας","negative"
"εξυπνάκιας","negative"
"εξυπνακίστικος","negative"
"έξυπνος","positive"
"εξυπνούλης","negative"
"εξυπνούλικα","negative"
"εξυπνούτσικος","negative"
"έξω","negative"
"εξωστρέφεια","positive"
"εξωτερίκευση","positive"
"εξωτερικεύω","positive"
"επαγγελματίας","positive"
"επεισοδιακός","negative"
"επεισοδιακή","negative"
"επεισοδιακό","negative"
"επηρεάζω","negative"
"επιβήτορας","negative"
"επίγνωση","positive"
"επιδερμικός","negative"
"επιδερμική","negative"
"επιδερμικό","negative"
"επιδρομέας","negative"
"επιθετικότητα","negative"
"επιθυμώ","positive"
"επικοινωνώ","positive"
"επιλεκτικός","positive"
"επιπόλαιος","negative"
"επιπόλαιη","negative"
"επιπόλαιο","negative"
"επιφυλακτικός","negative"
"επιφυλακτική","negative"
"επιφυλακτικό","negative"
"εποχούμενος","negative"
"επώδυνος","negative"
"επώδυνή","negative"
"επώδυνο","negative"
"εραστής","negative"
"εργατοπατέρας","negative"
"ερεθισμός","negative"
"έρημος","negative"
"ερίφης","negative"
"έρμος","negative"
"ερπετό","negative"
"ερπετό","negative"
"έρωτας","positive"
"ερωτεύομαι","positive"
"ερωτικός","positive"
"ερωτική","positive"
"ερωτικό","positive"
"ερωτο- ","negative"
"εσωστρέφεια","negative"
"ετερόκλητος","negative"
"ετοιματζίδικος","negative"
"ευαισθησία","negative"
"ευαισθητοποιώ","positive"
"ευαίσθητος","positive"
"ευαίσθητη","positive"
"ευαίσθητο","positive"
"ευαρέσκεια","positive"
"ευαρεστούμαι","positive"
"ευγένεια","positive"
"ευγενής","positive"
"ευγενές","positive"
"ευγενικός","positive"
"ευγενική","positive"
"ευγενικό","positive"
"ευγνώμονας","positive"
"ευγνωμονώ","positive"
"ευγνώμων","positive"
"ευγνώμον","positive"
"ευδοκιμώ","positive"
"ευδοκώ","positive"
"ευεξία","positive"
"εύηχος","positive"
"εύηχη","positive"
"εύηχο","positive"
"ευκαιριακός","negative"
"ευκολία","negative"
"εύκολος","negative"
"ευλαβής","positive"
"ευλαβές","positive"
"ευλογώ","positive"
"ευνουχίζω","negative"
"ευνουχισμός","negative"
"ευνούχος","negative"
"ευοσμία","positive"
"εύοσμος","positive"
"ευσεβής","positive"
"ευσεβές","positive"
"εύσημο","positive"
"ευσπλαχνίζομαι","positive"
"ευτράπελος","negative"
"ευτυχισμένος","positive"
"ευτυχισμένη","positive"
"ευτυχισμένο","positive"
"ευφορία ","positive"
"ευφροσύνη","positive"
"ευφυϊα","positive"
"ευφωνία","positive"
"εύχαρις","positive"
"ευχαρίστηση","positive"
"ευχάριστος","positive"
"ευχάριστος","positive"
"ευχάριστη","positive"
"ευχάριστο","positive"
"ευωδιά","positive"
"ευωδία","positive"
"εφετζίδικος","negative"
"εφευρετικός","positive"
"εφιάλτης","negative"
"εχθρεύομαι","negative"
"εχθρότητα","negative"
"ζαλάδα","negative"
"ζάλη","negative"
"ζεματώ","negative"
"ζερβοκουτάλα","negative"
"ζεσταίνω","positive"
"ζεστός","positive"
"ζεστή","positive"
"ζεστό","positive"
"ζηλεύω","negative"
"ζήλια","negative"
"ζηλώ","negative"
"ζο","negative"
"ζούδι","negative"
"ζουμί","negative"
"ζουμπάς","negative"
"ζούρλα","negative"
"ζωηρός","positive"
"ζωηρή","positive"
"ζωηρό","positive"
"ζώνω","negative"
"ζώο","negative"
"ζωογόνος","positive"
"ζωογόνα","positive"
"ζωογόνο","positive"
"ζωοφιλία","positive"
"ζωόφιλος","positive"
"ζωόφιλη","positive"
"ζωόφιλο","positive"
"ηθικός","positive"
"ηθική","positive"
"ηθικό","positive"
"ηλιόχαρος","positive"
"ηλιόχαρη","positive"
"ηλιόχαρο","positive"
"ήμερος","positive"
"ήμερη","positive"
"ήμερο","positive"
"ησυχία","positive"
"ήσυχος","positive"
"ήσυχη","positive"
"ήσυχο","positive"
"θάλπω","positive"
"θαλπωρή","positive"
"θαμπώνω","negative"
"θαυμάζω","positive"
"θαυμασμός","positive"
"θαυμαστής","positive"
"θαυματουργώ","positive"
"θέαμα","positive"
"θεατρίζομαι","negative"
"θεια","negative"
"θειος","negative"
"θείτσα","negative"
"θέλω","positive"
"Θεός","positive"
"θεούσα","negative"
"θεράποντας","negative"
"θερίζω","negative"
"θεριό","positive"
"θερμόαιμος","negative"
"θερμόαιμη","negative"
"θερμόαιμο","negative"
"θερμοκέφαλος","negative"
"θερμοκέφαλη","negative"
"θερμοκέφαλο","negative"
"θερμός","positive"
"θερμή","positive"
"θερμό","positive"
"θερμότητα","positive"
"θετικός","positive"
"θετική","positive"
"θετικό","positive"
"θεώμαι","negative"
"θεωρητικολογία","negative"
"θεωρητικολογώ","negative"
"θηλυκός","negative"
"θηριάκι","positive"
"θηρίο","negative"
"θλιβερός","negative"
"θλιβερή","negative"
"θλιβερό","negative"
"θλίβω","negative"
"θλιμμένος","negative"
"θλιμμένή","negative"
"θλιμμένο","negative"
"θλίψη ","negative"
"θολός","negative"
"θολή","negative"
"θολό","negative"
"θόρυβος","negative"
"θρασίμι","negative"
"θρησκευτικός","negative"
"θρησκευτική","negative"
"θρησκευτικό","negative"
"θρίλερ","negative"
"θύμηση","positive"
"θυμικό","negative"
"θυμικός","negative"
"θυμική","negative"
"θυμικό","negative"
"θυμωμένος","negative"
"θυμωμένή","negative"
"θυμωμένο","negative"
"θυμώνω","negative"
"ιδεοληψία","negative"
"ιδιοτέλεια","negative"
"ιδού","negative"
"ιερατείο","negative"
"ιερογλυφικός","negative"
"ικανοποίηση","positive"
"ικανός","positive"
"ίλιγγος","negative"
"ινστρούχτορας","negative"
"ιντελιγκέντσια","negative"
"ιπποπόταμος","negative"
"ισόβιος","negative"
"ισοβίως","negative"
"ισορροπία","positive"
"καβάλα","negative"
"καβαλικεύω","negative"
"καβαλώ","negative"
"κάθαρση","positive"
"καθηγητιλίκι","negative"
"καθηκοντολογία","negative"
"καθησυχάζω","positive"
"καθοδηγητής","negative"
"καθωσπρέπει","negative"
"καίω","negative"
"κακαρίζω","negative"
"κακόηχος ","negative"
"κακόηχη","negative"
"κακόηχο","negative"
"κακόκαρδος ","negative"
"κακόκαρδη","negative"
"κακόκαρδο","negative"
"κακός","negative"
"κακή","negative"
"κακιά","negative"
"κακό","negative"
"κακοσμία","negative"
"κακουχία","negative"
"καλαισθητικός ","positive"
"καλαισθητική","positive"
"καλαισθητικό","positive"
"καλαμοκάνης","negative"
"καλαμοπόδαρος","negative"
"καλαμπαλίκι","negative"
"καλημερούδια","positive"
"καληνυχτούδια","positive"
"καλησπερούδια","positive"
"καλλιτεχνικός ","positive"
"καλλιτεχνική","positive"
"καλλιτεχνικό","positive"
"καλλονή","positive"
"καλλονός","positive"
"κάλλος","positive"
"καλό","positive"
"καλογερεύω","negative"
"καλόγερος","negative"
"καλοδιάθετος ","positive"
"καλοδιάθετη","positive"
"καλοδιάθετο","positive"
"καλοκαιράκι","positive"
"καλόκαρδος ","positive"
"καλόκαρδη","positive"
"καλόκαρδο","positive"
"καλομαθαίνω","negative"
"καλοπερασάκιας","negative"
"καλός -ή -ό","positive"
"καλύβι","negative"
"καλύβι","negative"
"καμάκι","negative"
"καμακώνω","negative"
"καμάρι","positive"
"καμαρίλα","negative"
"καμαρώνω","positive"
"καμήλα","negative"
"καμπαρετζής","negative"
"καμπαρετζού","negative"
"κανάγιας","negative"
"κανί","negative"
"κανίβαλος","negative"
"κανονιέρης","negative"
"κανονίζω","negative"
"καούρα","negative"
"καπελαδούρα","negative"
"καπελίνο","negative"
"καπνικαρέα","negative"
"καπούλι","negative"
"κάπως","negative"
"καρα","negative"
"καρα","negative"
"καραβανάς","negative"
"καραβανσαράι","negative"
"καραβανσεράι","negative"
"καραβόσκυλος","negative"
"καραγιαπί","negative"
"καραγκιοζάκος","negative"
"καραγκιόζης","negative"
"καραγκιόζικος","negative"
"καραγκιοζιλίδικος","negative"
"καραγκιοζλίδικος","negative"
"καρακαηδόνα","negative"
"καρακάξα","negative"
"καραμπογιά","negative"
"καραπουτάνα","negative"
"καράφλα","negative"
